video_id,f1_sharpness,f1_brightness,f1_saturation,f2_sharpness,f2_brightness,f2_saturation,f3_sharpness,f3_brightness,f3_saturation,f4_sharpness,f4_brightness,f4_saturation,f5_sharpness,f5_brightness,f5_saturation
VIDEO_6885984385670122753,990.44,130.44,61.3,855.05,133.63,55.58,,,,,,,,,
VIDEO_6886076315288554754,690.21,112.48,121.95,608.88,113.13,121.84,,,,,,,,,
VIDEO_6887883845954178305,207.8,149.86,61.52,795.59,147.08,32.99,,,,,,,,,
VIDEO_6891319697220898050,503.92,42.79,12.18,505.39,38.91,19.08,542.1,58.33,14.94,412.68,2.1,0.25,,,
VIDEO_6891645296233794817,274.24,146.18,70.62,264.23,149.69,66.05,320.57,139.29,47.69,496.01,119.64,51.26,314.36,140.53,70.64
VIDEO_6893888228848389377,168.52,150.98,86.21,332.82,149.59,96.17,431.04,142.2,94.21,440.32,138.84,109.44,217.78,127.15,97.94
VIDEO_6894530886105042178,868.11,146.99,63.71,655.61,143.23,69.67,,,,,,,,,
VIDEO_6895288761354112258,1909.52,141.82,57.27,1918.05,143.3,55.63,1903.14,144.79,53.08,2159.84,141.55,42.28,1383.44,144.99,51.65
VIDEO_6895292772857826562,1613.31,136.95,77.95,1569.06,137.56,77.04,1509.12,137.75,77.84,1696.65,131.32,68.46,,,
VIDEO_6895747396404284674,771.0,121.8,100.19,808.52,120.71,100.82,644.95,120.52,101.65,1098.05,115.81,87.08,,,
VIDEO_6896055761982639362,1151.68,150.81,57.0,1436.28,148.43,68.84,,,,,,,,,
VIDEO_6896446483080482050,483.46,130.74,66.47,416.52,129.59,58.56,1093.73,118.53,94.12,192.14,139.79,52.5,670.65,110.31,71.94
VIDEO_6896455617523813633,492.03,163.73,46.81,486.89,164.23,46.43,513.72,164.68,45.64,310.02,149.56,72.48,,,
VIDEO_6897900291631402242,1408.84,137.14,56.59,1481.17,136.64,58.37,534.65,133.49,51.97,326.41,147.06,47.25,,,
VIDEO_6899015791086210306,215.16,147.14,89.13,329.2,142.32,83.92,264.33,129.57,72.19,1128.28,9.85,0.0,,,
VIDEO_6904609211431357698,244.81,125.2,117.46,192.25,132.29,127.24,3349.18,103.87,106.91,1130.3,126.36,99.26,1577.03,114.06,70.0
VIDEO_6913929490305420545,1008.36,218.2,34.88,826.72,214.44,35.42,,,,,,,,,
VIDEO_6915045654997912833,233.5,218.52,26.16,160.55,219.24,25.74,,,,,,,,,
VIDEO_6918691694791691525,98.09,83.23,48.84,209.12,111.95,67.78,344.47,137.72,38.67,344.66,110.27,67.96,382.39,124.96,54.27
VIDEO_6919824999914245381,381.7,125.61,124.65,550.89,121.51,121.03,387.07,121.2,136.3,520.1,108.86,146.73,0.0,0.0,3.43
VIDEO_6919872357288971521,1103.37,136.37,96.49,982.96,131.22,98.55,198.42,94.47,116.03,184.16,113.15,99.07,674.53,104.49,86.34
VIDEO_6920160579424488710,87.81,128.69,82.34,40.15,125.18,81.81,,,,,,,,,
VIDEO_6921227616347327749,363.25,217.09,5.65,368.8,215.01,6.59,177.51,148.17,47.0,1.2,11.61,13.4,,,
VIDEO_6921604099553119494,120.18,38.95,79.43,128.03,47.11,80.99,136.17,46.73,97.61,124.16,32.33,101.41,87.48,55.07,72.19
VIDEO_6921676134212029701,431.21,169.91,22.0,391.43,173.64,22.84,,,,,,,,,
VIDEO_6922868220890254597,333.67,85.96,106.94,160.72,133.79,98.05,,,,,,,,,
VIDEO_6923235061999373574,652.77,124.75,87.26,538.97,141.32,72.09,682.9,139.06,73.08,241.55,153.18,58.11,,,
VIDEO_6923258085528112390,309.97,142.86,70.82,297.11,141.58,70.66,233.45,157.46,38.72,709.62,160.17,60.57,,,
VIDEO_6923874728902003973,635.1,140.86,56.35,485.6,150.76,59.91,,,,,,,,,
VIDEO_6923969706332327174,172.27,133.68,64.48,199.53,133.58,64.39,,,,,,,,,
VIDEO_6923976137928445190,1110.12,145.66,136.44,380.78,161.79,115.33,326.35,172.12,102.19,137.57,119.05,115.85,,,
VIDEO_6926459852134845701,116.08,117.92,58.17,92.36,123.32,60.42,,,,,,,,,
VIDEO_6927547229486058757,546.93,170.0,74.61,459.19,170.88,70.54,,,,,,,,,
VIDEO_6927665892457237765,260.89,138.26,79.94,166.72,135.54,81.91,268.95,136.63,84.92,54.11,127.57,48.84,,,
VIDEO_6927911225066130693,479.32,140.2,54.82,335.62,138.64,55.98,,,,,,,,,
VIDEO_6930236006654364934,413.63,143.95,66.46,198.77,149.64,78.23,346.91,152.21,72.61,484.12,152.87,73.17,,,
VIDEO_6934012329067597061,51.01,88.71,133.87,47.92,90.8,132.73,44.87,93.12,131.81,51.69,128.1,83.37,,,
VIDEO_6935817751898426629,178.92,116.07,122.49,106.32,121.16,127.06,153.66,128.22,106.4,102.39,114.72,134.95,,,
VIDEO_6936835146301672709,936.72,87.92,78.35,864.61,108.65,55.32,928.99,101.97,56.17,1010.8,121.02,35.45,,,
VIDEO_6936943102523378950,2163.48,106.82,134.05,2286.27,107.37,133.04,0.74,166.02,33.44,656.2,112.87,101.7,,,
VIDEO_6937251547290045701,586.46,152.39,57.66,367.02,158.05,53.21,,,,,,,,,
VIDEO_6940187794534960389,311.05,162.28,29.25,380.41,162.65,29.7,,,,,,,,,
VIDEO_6940653001791130885,1294.95,113.57,115.53,1716.21,114.22,114.55,1621.95,117.8,109.77,59.47,88.56,135.04,,,
VIDEO_6942166804311575814,591.81,147.94,53.69,478.88,147.27,53.63,483.55,146.68,53.32,368.63,153.78,48.94,,,
VIDEO_6943534360066804998,698.9,170.32,61.39,694.89,170.46,60.47,,,,,,,,,
VIDEO_6943540424141491461,707.94,129.8,86.64,598.96,129.5,85.11,671.06,128.92,82.43,112.68,129.38,73.95,,,
VIDEO_6944298636553604358,494.97,111.65,92.32,419.1,108.81,94.02,424.62,108.43,99.2,96.07,135.39,136.23,57.4,150.01,79.68
VIDEO_6945377653587266822,250.67,193.74,37.84,237.39,191.63,41.31,,,,,,,,,
VIDEO_6946128715000663301,795.96,211.71,2.33,858.19,201.81,8.42,411.89,224.62,7.39,193.55,235.43,2.28,0.0,0.0,0.0
VIDEO_6952049416425590022,713.59,176.57,56.52,763.36,176.5,56.78,,,,,,,,,
VIDEO_6955020730140544261,91.56,169.43,64.93,153.77,159.18,72.57,172.34,139.23,75.78,481.79,133.66,83.53,,,
VIDEO_6955364241213771014,1124.75,109.02,65.51,861.46,115.36,67.79,,,,,,,,,
VIDEO_6956567938891599109,2370.76,144.69,108.94,2108.76,145.23,106.75,,,,,,,,,
VIDEO_6958338154617228549,50.04,60.64,110.3,86.07,120.31,64.66,32.71,139.72,57.05,927.02,92.93,83.94,3125.54,51.29,125.09
VIDEO_6958424996964355334,123.42,190.06,35.51,139.36,185.28,40.19,,,,,,,,,
VIDEO_6958797242429934854,478.2,141.67,63.76,385.44,144.39,64.99,,,,,,,,,
VIDEO_6959192993014287622,212.45,127.79,92.98,21.2,140.67,74.91,230.14,121.63,68.34,114.92,135.29,39.3,,,
VIDEO_6963197595422346502,552.23,139.01,60.12,144.41,107.69,81.65,211.24,108.97,95.84,44.67,127.5,71.95,306.52,111.39,92.89
VIDEO_6963263758630194437,320.16,107.71,58.37,373.26,118.13,55.73,548.92,156.06,39.98,96.21,136.42,90.11,697.23,102.17,146.14
VIDEO_6964763152974187781,299.35,109.92,132.52,653.49,84.09,129.8,2440.61,85.17,121.99,142.15,129.64,103.0,1340.53,87.35,117.73
VIDEO_6969101040918465798,713.3,99.03,122.92,726.97,104.65,129.07,,,,,,,,,
VIDEO_6972416280762649861,50.93,139.55,22.55,14.44,124.64,37.86,15.58,100.14,46.51,22.9,165.56,28.38,10.17,107.23,45.28
VIDEO_6978753193882832133,924.0,124.92,73.44,965.96,124.68,72.41,,,,,,,,,
VIDEO_6979673025503366405,130.5,145.92,36.84,126.04,145.9,37.24,136.9,151.14,36.4,107.11,145.96,55.54,,,
VIDEO_6980260193653378309,774.54,123.67,118.66,850.75,125.49,116.58,,,,,,,,,
VIDEO_6980319450687868166,1857.3,138.45,102.58,1861.18,135.79,98.72,212.54,137.57,127.4,1502.58,126.39,119.47,3104.69,125.59,112.65
VIDEO_6980342168535846149,147.74,120.27,55.02,133.63,120.09,51.63,,,,,,,,,
VIDEO_6980696986135710981,907.58,96.4,97.79,1297.45,125.43,95.73,,,,,,,,,
VIDEO_6982843678305897734,3200.14,96.34,145.83,1986.84,98.43,145.58,,,,,,,,,
VIDEO_6994481888182144262,517.77,156.51,50.93,488.26,139.3,46.99,,,,,,,,,
VIDEO_6994839726846971142,411.15,122.62,62.82,347.67,122.68,60.06,41.71,134.66,67.51,91.23,140.16,51.65,1219.72,136.26,43.56
VIDEO_7001054542804667653,407.13,132.46,61.71,631.52,139.15,46.3,808.0,139.0,56.97,529.56,152.79,34.41,,,
VIDEO_7001083090462346501,551.0,167.34,71.83,349.17,169.55,69.14,355.59,171.11,64.8,145.45,172.87,137.13,228.54,158.63,97.47
VIDEO_7004414493086240006,37.73,201.12,17.78,36.51,201.26,18.07,,,,,,,,,
VIDEO_7007863408129215749,153.14,114.82,97.41,109.64,129.26,74.14,190.63,110.64,57.6,433.52,102.94,109.26,389.53,130.24,59.57
VIDEO_7011522309198515462,139.99,112.89,82.43,111.15,95.07,95.8,85.9,164.15,44.32,,,,,,
VIDEO_7012661937477537030,899.81,118.23,86.41,788.47,125.73,81.58,760.79,135.35,78.3,698.36,137.1,99.12,,,
VIDEO_7013121880366255365,366.64,116.22,63.82,274.45,122.35,66.66,,,,,,,,,
VIDEO_7014030961486630149,502.4,165.42,42.32,503.91,163.2,42.87,675.8,102.38,71.38,843.87,125.41,21.43,1056.46,99.64,73.66
VIDEO_7014868849635904773,198.37,165.46,91.68,150.88,158.32,97.53,,,,,,,,,
VIDEO_7018111226760776966,599.57,91.8,87.32,466.36,95.2,88.97,588.01,96.08,89.94,416.2,119.21,74.98,623.59,137.95,66.64
VIDEO_7018383080205356293,209.1,180.78,72.94,182.61,180.37,72.94,,,,,,,,,
VIDEO_7018826174767942918,17.71,100.53,25.98,12.46,102.87,25.83,,,,,,,,,
VIDEO_7019307301299424518,318.15,188.3,7.86,392.38,176.78,31.93,,,,,,,,,
VIDEO_7019559155425955077,30.9,117.61,112.44,28.83,110.83,110.11,1580.03,152.07,44.97,18.18,107.5,145.28,1820.96,110.2,62.44
VIDEO_7020800251950927109,20.41,122.95,105.18,23.88,122.53,105.24,,,,,,,,,
VIDEO_7022178037378731270,287.25,60.44,23.94,293.09,54.68,29.72,,,,,,,,,
VIDEO_7022596866374192390,175.92,118.61,173.05,163.5,130.6,160.1,,,,,,,,,
VIDEO_7022925491963481349,1849.76,144.8,54.94,1234.31,129.22,54.94,,,,,,,,,
VIDEO_7023313220278553862,275.94,164.15,41.58,269.13,161.74,38.88,251.49,161.32,38.09,247.53,129.38,57.28,215.68,120.69,54.09
VIDEO_7025927416061250821,13.83,166.59,33.92,10.76,163.87,31.57,402.17,120.72,54.85,324.18,125.31,64.66,773.05,129.33,63.8
VIDEO_7026756047805205766,105.88,191.73,13.18,9.93,111.83,35.02,9.32,113.8,32.53,200.09,207.77,8.14,15.32,61.55,39.75
VIDEO_7026774067223055621,209.22,58.52,114.5,207.15,59.05,116.94,,,,,,,,,
VIDEO_7027511633060695301,411.45,135.16,63.38,473.93,149.85,56.09,,,,,,,,,
VIDEO_7028978217117682949,547.65,98.41,41.42,508.42,97.74,41.35,,,,,,,,,
VIDEO_7033466696245497093,930.1,185.45,43.01,930.05,187.05,41.08,,,,,,,,,
VIDEO_7036035511869246725,20.33,104.67,94.04,50.45,104.86,94.04,1.86,170.66,34.84,8.6,111.57,99.93,68.83,113.44,54.0
VIDEO_7036282180816932102,1008.27,167.27,81.72,84.33,201.24,20.67,282.48,125.82,52.17,7.79,160.07,40.56,473.11,103.48,65.4
VIDEO_7036326405155638533,1155.37,125.04,104.07,1420.3,126.89,104.07,,,,,,,,,
VIDEO_7036807584111709445,288.92,119.58,65.31,135.99,129.87,55.16,319.84,119.29,68.41,174.85,122.54,80.8,,,
VIDEO_7037532518978964741,211.14,121.95,66.64,171.45,121.82,65.58,,,,,,,,,
VIDEO_7037757089799818502,0.0,2.0,164.43,12.84,137.48,33.91,7.51,122.76,27.55,,,,,,
VIDEO_7037974894553894150,48.98,124.55,50.02,44.01,133.21,35.08,,,,,,,,,
VIDEO_7038189746484563205,545.53,125.1,27.63,539.73,123.32,29.81,,,,,,,,,
VIDEO_7038638363686997254,307.22,137.43,88.0,250.21,135.0,87.24,252.15,129.31,98.26,560.83,105.21,117.48,672.73,102.52,126.4
VIDEO_7038692809985051909,311.99,161.75,17.5,359.72,142.57,23.67,,,,,,,,,
VIDEO_7038707297396198661,373.63,119.22,79.06,528.12,120.79,77.09,,,,,,,,,
VIDEO_7039005707844308229,771.07,192.58,83.37,925.59,150.7,110.5,,,,,,,,,
VIDEO_7039252769894616326,162.7,188.97,29.84,198.78,172.93,34.36,,,,,,,,,
VIDEO_7039259712038112518,232.16,168.83,57.16,256.7,182.7,52.59,623.13,182.74,31.34,174.47,175.88,35.07,239.84,186.51,23.06
VIDEO_7039780337739730181,74.75,145.82,54.03,82.89,145.45,54.21,,,,,,,,,
VIDEO_7040071170363788550,9.55,179.44,20.61,11.36,180.12,20.61,,,,,,,,,
VIDEO_7040105390410960133,121.05,128.69,66.41,183.33,137.05,48.61,99.76,122.06,67.36,34.66,133.27,74.16,87.07,124.49,72.24
VIDEO_7040300833019415813,436.75,106.3,34.92,464.13,106.83,36.61,,,,,,,,,
VIDEO_7040810874281479430,674.95,148.85,92.94,759.47,148.7,93.01,215.85,178.8,57.54,,,,,,
VIDEO_7041160388334980357,406.26,230.48,13.24,241.31,222.76,16.51,176.96,170.6,24.04,275.61,158.01,27.8,456.59,87.41,92.05
VIDEO_7041273346830454022,26.04,172.89,68.21,28.01,173.91,66.99,50.15,121.86,82.9,51.96,130.68,79.14,60.01,121.9,90.54
VIDEO_7041603482742230278,108.73,151.5,36.9,38.46,153.46,41.08,269.14,151.5,79.48,240.04,174.45,52.7,946.02,126.21,70.65
VIDEO_7041969079246245126,851.76,158.52,60.25,918.99,163.92,58.01,488.87,154.5,76.37,,,,,,
VIDEO_7042347189179403525,79.12,138.73,94.64,66.03,137.99,91.66,,,,,,,,,
VIDEO_7042694987141745926,609.79,158.43,63.27,549.55,157.88,63.71,,,,,,,,,
VIDEO_7043009038623329541,44.11,168.64,75.32,45.62,165.04,75.68,,,,,,,,,
VIDEO_7043834307458141446,858.47,126.05,82.59,860.18,127.38,80.38,,,,,,,,,
VIDEO_7044841251262237958,238.06,75.51,103.91,223.12,78.28,105.3,,,,,,,,,
VIDEO_7044982077288189190,2275.49,118.61,127.34,1751.03,112.28,138.29,,,,,,,,,
VIDEO_7045558641969073414,322.69,174.74,38.05,303.04,182.71,35.05,348.43,183.08,27.73,278.84,160.09,30.84,347.03,174.47,25.13
VIDEO_7046370407758286085,65.92,85.08,94.21,76.15,91.04,24.62,,,,,,,,,
VIDEO_7049689395460312326,621.8,145.25,61.45,614.92,144.38,60.79,698.59,156.81,46.71,563.06,157.47,72.42,881.61,158.6,42.14
VIDEO_7050043192732912901,523.65,124.43,148.67,506.09,125.45,147.14,,,,,,,,,
VIDEO_7050156581652106502,371.41,186.44,18.82,500.61,189.24,14.52,328.28,180.38,22.75,757.22,131.87,40.52,,,
VIDEO_7050500563045338374,255.23,173.41,65.06,70.44,190.4,63.85,123.6,141.63,111.76,193.68,145.76,110.53,281.17,176.49,66.01
VIDEO_7051571825989422342,359.43,141.82,118.33,285.78,144.22,118.29,307.45,146.04,114.87,220.93,145.92,118.19,109.15,113.81,173.08
VIDEO_7051617295818362117,347.16,162.5,52.68,271.18,166.84,54.51,,,,,,,,,
VIDEO_7052727837165505797,313.49,181.94,15.34,228.94,184.29,11.73,253.16,177.3,18.7,726.38,207.19,12.65,,,
VIDEO_7053136217717607686,525.9,102.64,139.64,267.6,120.12,119.43,332.66,122.33,122.67,939.95,117.27,127.53,1159.82,99.57,66.07
VIDEO_7053545705868152069,151.83,171.72,34.07,125.52,175.55,35.0,,,,,,,,,
VIDEO_7053886455805955333,25.66,145.96,94.86,668.57,195.57,18.53,78.06,150.23,88.67,231.98,109.74,84.61,190.34,100.03,45.1
VIDEO_7054222416247000325,35.59,86.5,126.89,49.53,88.46,131.68,,,,,,,,,
VIDEO_7054255399968476422,23.1,132.13,59.16,19.75,137.76,52.21,,,,,,,,,
VIDEO_7054582233989958917,137.67,148.28,89.53,128.71,144.84,91.72,,,,,,,,,
VIDEO_7054948838716493061,603.08,165.43,67.16,602.82,164.31,67.17,196.06,182.69,36.82,165.63,198.78,40.85,244.74,203.68,34.94
VIDEO_7054964457310539013,140.01,104.93,150.01,151.72,112.94,142.42,,,,,,,,,
VIDEO_7055321327174946054,587.96,109.01,49.93,609.23,114.46,47.93,25.48,158.08,27.01,17.04,57.0,98.38,,,
VIDEO_7055610539749199109,597.93,109.68,118.09,404.34,106.65,130.51,245.71,148.5,42.94,245.71,148.5,42.94,192.6,111.97,98.78
VIDEO_7055714634526969093,671.18,183.5,39.91,652.89,184.95,39.13,,,,,,,,,
VIDEO_7056423267564899590,559.49,125.47,107.72,649.97,129.78,103.36,453.83,123.6,106.05,0.0,0.0,0.0,,,
VIDEO_7056858947935915270,14.3,155.56,62.99,6.0,157.1,54.76,,,,,,,,,
VIDEO_7057200753470950661,741.39,127.91,67.17,753.1,127.51,66.71,,,,,,,,,
VIDEO_7057221943623306501,258.2,114.6,152.24,249.58,122.94,138.47,195.35,123.01,125.17,478.22,127.22,133.85,423.94,120.79,123.5
VIDEO_7057548200625917190,785.41,122.76,34.17,666.77,117.16,36.89,516.41,114.62,81.18,0.0,0.01,20.28,,,
VIDEO_7057560274424958214,357.81,154.06,81.32,356.08,153.95,80.31,,,,,,,,,
VIDEO_7057846707651939590,331.48,129.08,99.68,474.74,122.4,106.32,523.21,132.03,95.19,345.71,130.09,66.02,,,
VIDEO_7058313871718714629,92.31,97.79,127.85,110.42,103.48,120.8,,,,,,,,,
VIDEO_7058348964306783493,130.95,109.24,117.04,115.8,107.5,123.61,,,,,,,,,
VIDEO_7058664802880589062,542.4,151.35,76.16,692.15,149.97,74.21,,,,,,,,,
VIDEO_7059081815985818886,0.99,161.91,34.38,11.32,119.66,113.49,348.05,109.73,143.92,,,,,,
VIDEO_7059301793574046982,348.35,120.29,159.62,343.54,124.15,157.81,,,,,,,,,
VIDEO_7059302103713402117,84.53,130.78,152.94,120.16,137.04,145.21,,,,,,,,,
VIDEO_7059414649581604102,140.97,157.38,59.99,137.79,168.41,49.61,,,,,,,,,
VIDEO_7059442492080491781,73.95,92.8,101.65,141.75,104.65,93.43,174.81,114.91,64.64,17.52,98.37,175.65,196.35,88.63,158.19
VIDEO_7059747853035441414,258.09,119.58,78.9,319.71,120.43,78.66,,,,,,,,,
VIDEO_7059832468412583173,50.13,120.36,127.57,55.41,119.5,125.31,95.07,126.04,114.41,54.62,125.97,112.76,39.19,137.17,105.73
VIDEO_7060191695681375493,123.37,110.12,115.8,144.2,104.73,114.46,137.74,102.71,116.26,142.82,101.57,118.26,84.59,222.29,15.1
VIDEO_7060513660975844614,1033.81,154.68,87.03,1031.43,156.61,89.22,442.95,167.64,74.72,742.59,179.66,58.9,373.44,167.44,90.83
VIDEO_7060539961459641605,509.64,112.12,112.88,500.26,112.84,112.17,159.22,109.83,129.39,942.48,136.05,58.71,,,
VIDEO_7060887870688529670,167.02,146.96,20.6,167.03,148.04,20.41,135.19,201.1,14.55,,,,,,
VIDEO_7061273234259610885,41.58,148.73,112.72,48.47,146.07,115.52,84.32,185.56,55.05,533.59,146.69,105.35,,,
VIDEO_7061519229182315781,5.86,61.57,59.51,6.45,60.28,60.71,9.21,146.08,44.28,12.53,159.67,51.58,,,
VIDEO_7061663961090936070,191.97,147.69,73.24,220.52,149.0,70.62,,,,,,,,,
VIDEO_7061974363939261701,80.52,122.48,32.59,68.59,168.13,6.59,95.64,142.19,23.51,78.09,144.35,18.76,113.35,160.87,15.02
VIDEO_7062023531764256006,282.54,123.82,27.74,272.57,132.43,24.41,484.64,160.06,36.15,479.18,196.83,15.55,53.59,149.22,45.02
VIDEO_7062046390570061061,870.66,193.07,48.17,801.5,193.38,51.2,211.84,149.65,69.59,665.18,178.35,51.61,292.4,164.25,53.17
VIDEO_7062415851231677702,518.75,159.85,27.37,414.31,161.87,26.74,,,,,,,,,
VIDEO_7062740749992971526,203.87,131.13,44.44,205.33,127.47,47.84,,,,,,,,,
VIDEO_7063121025394855173,361.33,151.37,71.97,324.99,153.19,67.48,271.23,174.23,65.11,242.22,171.27,51.52,110.48,177.86,60.01
VIDEO_7063127157068844294,150.44,125.56,55.45,160.63,125.02,57.49,,,,,,,,,
VIDEO_7063459529668742406,280.14,136.61,36.17,323.89,154.55,22.82,181.37,150.06,31.24,180.99,151.63,35.14,,,
VIDEO_7063505399307144454,696.67,105.81,135.91,617.29,125.31,125.22,742.92,94.9,130.58,585.92,145.82,88.29,795.27,148.63,87.02
VIDEO_7064244808700726533,48.88,176.54,51.63,52.64,175.41,53.72,,,,,,,,,
VIDEO_7064489288125189382,135.68,161.91,59.41,140.91,161.77,59.56,,,,,,,,,
VIDEO_7064507087086161157,169.71,128.24,99.76,235.72,152.62,74.41,,,,,,,,,
VIDEO_7064585014561754373,78.14,164.76,51.4,64.11,158.24,52.44,284.15,130.07,51.96,228.56,130.0,37.75,125.71,227.91,16.57
VIDEO_7064650116321250566,1.6,138.56,128.16,2.14,131.42,138.04,,,,,,,,,
VIDEO_7064977105032858885,254.25,120.36,76.12,198.1,159.94,34.75,173.51,159.05,34.71,378.45,119.48,93.97,310.98,113.59,121.01
VIDEO_7065372841423801605,876.94,115.73,57.07,536.51,119.75,52.75,,,,,,,,,
VIDEO_7065713702833638662,779.5,152.73,33.42,582.89,154.67,33.13,399.88,132.17,43.5,372.59,116.21,33.32,643.34,126.52,32.63
VIDEO_7065769954695564550,110.94,133.95,64.5,73.7,106.72,79.7,71.72,108.8,76.9,,,,,,
VIDEO_7066474035613388037,28.79,170.97,55.01,27.16,169.83,53.69,3.8,179.97,44.05,66.24,145.77,33.46,200.05,186.28,58.22
VIDEO_7066872454249073925,842.55,154.68,43.54,665.89,152.61,46.57,,,,,,,,,
VIDEO_7067063225736580357,2272.58,128.31,100.42,220.17,117.5,118.62,422.01,111.35,98.78,340.52,137.45,34.08,37.53,125.47,52.85
VIDEO_7067217215925275910,353.69,144.07,52.92,361.27,136.54,59.46,402.04,144.24,47.13,374.29,161.35,26.28,,,
VIDEO_7067569943449046278,472.31,135.29,70.11,495.55,135.82,69.71,435.56,115.21,109.3,,,,,,
