,video_id,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3
102,VIDEO_7466109584952855840,98,128,165,0.2019642857142857,55,78,111,0.2549404761904762,192,200,210,0.5430952380952381
103,VIDEO_7463198577188146464,35,24,35,0.39591836734693875,121,94,108,0.3541326530612245,187,186,198,0.24994897959183673
104,VIDEO_7458328611213298976,179,189,204,0.6444940476190476,51,53,62,0.13854166666666667,127,133,146,0.21696428571428572
105,VIDEO_7451579890048027937,59,70,95,0.31058035714285714,212,220,230,0.34263392857142855,124,147,184,0.3467857142857143
106,VIDEO_7443846446362774817,54,46,44,0.27291666666666664,112,107,113,0.39422619047619045,179,171,170,0.33285714285714285
107,VIDEO_7436439641298865441,53,42,50,0.32244047619047617,246,242,244,0.38625,145,130,140,0.2913095238095238
108,VIDEO_7423318018853178657,230,245,250,0.4621875,129,116,85,0.3258482142857143,52,51,57,0.21196428571428572
109,VIDEO_7414073681992895776,129,129,126,0.22964285714285715,53,56,57,0.48760714285714285,215,224,235,0.28275
110,VIDEO_7397062762150513952,121,122,116,0.31889285714285714,157,174,203,0.342,45,58,57,0.3391071428571429
111,VIDEO_7395189160081935649,152,160,95,0.41482142857142856,83,88,37,0.3823979591836735,222,226,216,0.20278061224489796
112,VIDEO_7350221322317761825,232,223,216,0.03029761904761905,110,16,121,0.3555357142857143,38,9,47,0.6141666666666666
113,VIDEO_7343530174526377249,118,129,149,0.3095663265306122,38,38,38,0.08332908163265307,196,193,194,0.6071045918367347
114,VIDEO_7336238126651706656,182,187,205,0.15614285714285714,64,10,14,0.4830714285714286,137,84,81,0.36078571428571427
115,VIDEO_7329933240775527713,94,113,142,0.3513392857142857,186,190,201,0.34767857142857145,24,49,80,0.30098214285714286
116,VIDEO_7329526946751089953,107,120,147,0.5067142857142857,175,176,192,0.3702142857142857,26,17,16,0.12307142857142857
117,VIDEO_7316851921288006944,29,47,70,0.1670879120879121,184,192,204,0.3786538461538462,71,109,153,0.45425824175824175
118,VIDEO_7300927450463194400,205,210,227,0.5640561224489796,45,67,115,0.2089795918367347,95,134,186,0.2269642857142857
119,VIDEO_7297177472615861536,144,134,128,0.2993928571428571,227,225,224,0.39003571428571426,69,61,52,0.31057142857142855
120,VIDEO_7296855348714016033,101,130,181,0.4477380952380952,53,47,61,0.33541666666666664,200,212,234,0.2168452380952381
121,VIDEO_7290823677195603233,80,55,52,0.5611904761904762,117,132,156,0.3485714285714286,196,208,212,0.09023809523809524
122,VIDEO_7261565962875358491,100,101,53,0.47610714285714284,175,179,189,0.3747142857142857,234,234,238,0.14917857142857144
123,VIDEO_7260104911830945051,155,121,94,0.30395833333333333,63,58,49,0.4008630952380952,185,198,198,0.2951785714285714
124,VIDEO_7257874855037586714,44,48,39,0.40040816326530615,191,200,215,0.2209438775510204,99,107,111,0.37864795918367344
125,VIDEO_7210751695771553030,50,52,59,0.28316964285714286,98,113,143,0.5029017857142857,194,198,208,0.21392857142857144
126,VIDEO_7193808719287766278,23,22,28,0.2983928571428571,149,160,182,0.3021875,95,114,152,0.3994196428571429
127,VIDEO_7192709681280781574,172,181,197,0.4025595238095238,107,118,140,0.35904761904761906,58,66,83,0.23839285714285716
128,VIDEO_7191884217595219206,116,150,217,0.6195535714285715,32,40,89,0.13598214285714286,193,224,252,0.24446428571428572
129,VIDEO_7190283346373610757,120,128,149,0.1957142857142857,202,204,217,0.24107142857142858,42,66,117,0.5632142857142857
130,VIDEO_7184460864404229381,91,97,55,0.17857142857142858,177,190,212,0.4968452380952381,129,132,82,0.32458333333333333
131,VIDEO_7183681305203330309,26,32,37,0.6468622448979592,133,76,98,0.2947448979591837,183,195,203,0.05839285714285714
132,VIDEO_7171449726158589189,199,217,236,0.6198214285714285,121,134,151,0.22428571428571428,68,79,95,0.15589285714285714
133,VIDEO_7168916057166597382,229,234,244,0.6038095238095238,58,49,50,0.2143452380952381,142,148,160,0.1818452380952381
134,VIDEO_7164397666472873222,119,104,78,0.34116071428571426,204,194,179,0.206875,31,25,19,0.4519642857142857
135,VIDEO_7161354120849427717,93,64,52,0.3232738095238095,235,217,195,0.28735119047619045,186,147,99,0.389375
136,VIDEO_7143175958978186502,151,177,229,0.18271428571428572,70,77,77,0.4546428571428571,115,120,130,0.36264285714285716
137,VIDEO_7132514036276628742,218,195,186,0.2949404761904762,68,65,56,0.3686309523809524,138,127,111,0.3364285714285714
138,VIDEO_7124374690520419590,44,47,34,0.27303571428571427,194,211,219,0.44035714285714284,127,113,83,0.28660714285714284
139,VIDEO_7094270154275605765,134,110,102,0.21799107142857144,217,203,193,0.40200892857142856,52,48,46,0.38
140,VIDEO_6958338154617228549,210,204,198,0.35167857142857145,38,37,32,0.3520357142857143,112,115,107,0.29628571428571426
141,VIDEO_6955364241213771014,100,104,114,0.32239285714285715,185,202,225,0.28325,46,49,41,0.39435714285714285
142,VIDEO_6921604099553119494,40,33,30,0.17002551020408163,6,2,4,0.7386224489795918,116,102,81,0.09135204081632653
143,VIDEO_7604808799404264726,29,39,53,0.2888928571428571,61,126,192,0.5584285714285714,175,203,224,0.15267857142857144
144,VIDEO_7603273994216738070,105,86,139,0.2927142857142857,23,12,34,0.47914285714285715,203,182,219,0.22814285714285715
145,VIDEO_7596993704146046230,44,20,13,0.1564484126984127,203,169,136,0.27009920634920637,98,72,66,0.5734523809523809
146,VIDEO_7593041331174362390,74,81,102,0.29314285714285715,122,132,156,0.61475,191,194,205,0.09210714285714286
147,VIDEO_7589754729350155542,188,181,154,0.17368622448979593,27,20,25,0.5659821428571429,151,95,57,0.26033163265306125
148,VIDEO_7587308013363449121,84,63,68,0.20666666666666667,160,127,103,0.11946428571428572,19,13,19,0.6738690476190476
149,VIDEO_7583720650200730902,93,128,175,0.367984693877551,29,37,57,0.24232142857142858,196,203,220,0.3896938775510204
150,VIDEO_7577768828214512918,183,189,194,0.2239732142857143,46,62,86,0.37973214285714285,46,103,168,0.39629464285714283
151,VIDEO_7575831202117045526,212,214,216,0.5126785714285714,25,37,58,0.3111904761904762,112,128,140,0.1761309523809524
152,VIDEO_7574767270392532246,209,220,232,0.543779761904762,48,39,36,0.15047619047619049,152,148,146,0.3057440476190476
153,VIDEO_7572922723836431638,149,164,169,0.2916964285714286,63,99,125,0.1808482142857143,184,195,196,0.5274553571428572
154,VIDEO_7569206708090850582,61,54,43,0.34288690476190475,63,126,175,0.41651785714285716,152,139,103,0.24059523809523808
155,VIDEO_7568382003330993430,179,188,208,0.1939732142857143,11,10,9,0.6457589285714286,83,75,75,0.16026785714285716
156,VIDEO_7566297785914412310,87,167,240,0.5011904761904762,81,72,41,0.22321428571428573,195,167,116,0.2755952380952381
157,VIDEO_7563724139240885526,4,4,4,0.8666517857142857,150,132,116,0.01669642857142857,52,28,19,0.11665178571428571
158,VIDEO_7556661292233379075,135,101,82,0.4170982142857143,195,180,166,0.25040178571428573,34,26,26,0.3325
159,VIDEO_7553924193562266902,132,118,91,0.3522619047619048,39,46,26,0.5326488095238096,209,220,210,0.11508928571428571
160,VIDEO_7553554500972367107,46,29,28,0.29232142857142857,220,219,218,0.410625,152,130,125,0.2970535714285714
161,VIDEO_7545446733921209622,81,100,80,0.3896428571428571,5,9,9,0.4243112244897959,168,189,203,0.18604591836734694
162,VIDEO_7537707440142454038,61,67,82,0.2935714285714286,193,204,213,0.35044642857142855,130,143,165,0.35598214285714286
163,VIDEO_7480851478555659543,175,180,185,0.91425,25,36,45,0.06721428571428571,112,118,124,0.018535714285714287
164,VIDEO_7478288153153916182,199,200,198,0.3276428571428571,62,104,161,0.4567857142857143,48,51,50,0.21557142857142858
165,VIDEO_7476404323317222658,147,164,169,0.20495535714285715,58,95,122,0.24165178571428572,181,192,192,0.5533928571428571
166,VIDEO_7474625701350509846,88,124,175,0.4078125,188,207,225,0.44040178571428573,44,45,48,0.15178571428571427
167,VIDEO_7473095088948759830,181,179,172,0.26803571428571427,119,89,88,0.2538392857142857,33,19,24,0.478125
168,VIDEO_7471251146288418070,103,99,107,0.37333333333333335,200,194,196,0.18458333333333332,48,36,50,0.44208333333333333
169,VIDEO_7468715378743528736,52,20,35,0.4138095238095238,172,174,189,0.26708333333333334,107,82,99,0.31910714285714287
170,VIDEO_7467231080735690017,74,81,102,0.29175,122,132,157,0.6185357142857143,192,196,206,0.08971428571428572
171,VIDEO_7466117788898315552,117,142,158,0.31692857142857145,58,77,93,0.14767857142857144,183,186,190,0.5353928571428571
172,VIDEO_7465375886779403552,106,97,112,0.39571428571428574,155,155,160,0.36910714285714286,33,20,28,0.23517857142857143
173,VIDEO_7463520186876939552,113,148,172,0.3324404761904762,215,221,220,0.3697916666666667,64,92,114,0.29776785714285714
174,VIDEO_7458325240628661537,35,28,18,0.5944642857142857,159,101,57,0.30714285714285716,216,243,221,0.09839285714285714
175,VIDEO_7456840693982465312,192,199,206,0.4774404761904762,101,131,164,0.2958928571428571,31,52,74,0.22666666666666666
176,VIDEO_7454985264952266016,110,110,121,0.3009375,202,205,207,0.5011160714285714,37,39,45,0.19794642857142858
177,VIDEO_7452758752337399073,142,105,81,0.15580357142857143,205,180,149,0.1709375,69,54,51,0.6732589285714285
178,VIDEO_7452387800818666785,24,63,110,0.38184523809523807,135,184,227,0.31297619047619046,115,116,143,0.3051785714285714
179,VIDEO_7449430237114404128,207,216,219,0.3435714285714286,105,135,159,0.33517857142857144,51,71,90,0.32125
180,VIDEO_7444595106025442593,202,204,204,0.43470238095238095,16,42,80,0.308452380952381,92,120,147,0.25684523809523807
181,VIDEO_7441626192760884513,213,158,76,0.29220238095238094,34,27,20,0.43702380952380954,119,96,69,0.2707738095238095
182,VIDEO_7440465091817999649,104,121,147,0.5794642857142858,158,182,213,0.35110714285714284,37,40,42,0.06942857142857142
183,VIDEO_7437536576072125728,39,37,37,0.3706785714285714,123,168,221,0.34010714285714283,99,106,119,0.2892142857142857
184,VIDEO_7436650165861141792,105,114,133,0.37142857142857144,174,188,203,0.3571785714285714,47,47,60,0.27139285714285716
185,VIDEO_7436403924350864672,131,140,138,0.4785714285714286,76,79,76,0.2802857142857143,177,203,216,0.24114285714285713
186,VIDEO_7436044441170857249,58,67,49,0.19339285714285714,20,29,18,0.6041964285714285,111,119,101,0.20241071428571428
187,VIDEO_7434931188642352417,30,54,68,0.54375,191,204,197,0.17666666666666667,100,122,141,0.27958333333333335
188,VIDEO_7433817907278269729,42,26,10,0.521875,120,81,35,0.41401785714285716,195,187,166,0.06410714285714286
189,VIDEO_7431168865142328608,73,70,56,0.3304166666666667,191,194,178,0.20964285714285713,120,125,116,0.4599404761904762
190,VIDEO_7429720640111791392,123,144,165,0.38205357142857144,198,213,223,0.475,43,63,88,0.14294642857142856
191,VIDEO_7428251635102534945,49,55,50,0.54325,213,231,242,0.17710714285714285,124,128,126,0.27964285714285714
192,VIDEO_7425965869924142369,2,3,4,0.5762142857142857,149,168,166,0.2380357142857143,77,85,70,0.18575
193,VIDEO_7423773390932135201,123,124,138,0.38726190476190475,70,67,78,0.36023809523809525,182,194,209,0.2525
194,VIDEO_7414443436134223137,86,106,128,0.3520535714285714,143,168,192,0.5775892857142857,18,21,32,0.07035714285714285
195,VIDEO_7412540786975231264,200,214,216,0.2171875,36,35,38,0.43870535714285713,116,136,160,0.34410714285714283
196,VIDEO_7410298388022824225,178,193,214,0.5977142857142858,103,91,107,0.24392857142857144,33,30,41,0.15835714285714286
197,VIDEO_7407736509996043553,100,92,119,0.5480357142857143,33,22,20,0.29678571428571426,203,197,185,0.15517857142857142
198,VIDEO_7399196283501628705,26,35,30,0.3939285714285714,177,212,218,0.2859285714285714,107,109,43,0.3201428571428571
199,VIDEO_7394351547376880929,75,91,29,0.37226190476190474,207,211,197,0.4093452380952381,139,148,58,0.21839285714285714
200,VIDEO_7392856168214957345,169,10,24,0.5628214285714286,240,235,235,0.07039285714285715,92,15,23,0.36678571428571427
201,VIDEO_7390632928780340512,152,4,5,0.7605,222,203,201,0.054607142857142854,38,19,15,0.18489285714285714
202,VIDEO_7388867149407849760,45,75,88,0.48732142857142857,220,214,209,0.39739285714285716,237,169,98,0.11528571428571428
203,VIDEO_7387308322162052385,62,71,56,0.34414285714285714,205,198,195,0.35114285714285715,134,131,133,0.3047142857142857
204,VIDEO_7386194546062839073,19,14,14,0.5402678571428572,161,11,6,0.42477678571428573,232,222,216,0.03495535714285714
205,VIDEO_7382166710029208865,249,249,248,0.34639285714285717,179,0,13,0.5929642857142857,69,44,34,0.060642857142857144
206,VIDEO_7381115594076146977,146,139,134,0.3008214285714286,90,63,36,0.4749285714285714,231,223,204,0.22425
207,VIDEO_7379227737271094561,89,86,73,0.4396785714285714,231,230,226,0.16760714285714284,183,0,15,0.39271428571428574
208,VIDEO_7379193504355978528,212,188,178,0.1280952380952381,153,176,83,0.5911309523809524,94,110,42,0.28077380952380954
209,VIDEO_7378467106636991777,139,114,94,0.3065178571428571,172,3,15,0.5442410714285715,240,236,232,0.14924107142857143
210,VIDEO_7377004580510436641,183,175,173,0.5350714285714285,38,43,23,0.30078571428571427,229,45,83,0.16414285714285715
211,VIDEO_7376630682824576289,70,158,213,0.1657142857142857,81,102,45,0.5044047619047619,195,222,220,0.3298809523809524
212,VIDEO_7374412100833250593,71,91,91,0.27667857142857144,220,210,196,0.30160714285714285,148,155,147,0.4217142857142857
213,VIDEO_7374072615356353825,20,30,14,0.44318452380952383,182,185,189,0.11160714285714286,79,94,52,0.4452083333333333
214,VIDEO_7369936386000031009,221,213,196,0.2646428571428571,38,35,25,0.4669345238095238,121,108,89,0.26842261904761905
215,VIDEO_7367273018181160224,116,143,165,0.3175297619047619,63,69,59,0.3480654761904762,162,199,233,0.3344047619047619
216,VIDEO_7366603470272515361,20,19,21,0.5529285714285714,113,120,133,0.30814285714285716,211,204,203,0.13892857142857143
217,VIDEO_7365841944318086432,120,143,143,0.2874642857142857,199,201,201,0.4483214285714286,44,73,69,0.26421428571428573
218,VIDEO_7365161137324805408,164,179,218,0.5025,155,162,101,0.25651785714285713,52,78,45,0.24098214285714287
219,VIDEO_7363657122795490593,111,127,161,0.5465476190476191,43,39,38,0.16139880952380953,192,185,180,0.2920535714285714
220,VIDEO_7361799258107841825,50,63,34,0.3613392857142857,198,198,191,0.2725297619047619,122,138,99,0.3661309523809524
221,VIDEO_7361030582446378272,53,52,33,0.39401785714285714,104,106,94,0.5345089285714286,198,186,185,0.07147321428571428
222,VIDEO_7358723892992642336,138,144,132,0.3360119047619048,55,61,39,0.3594047619047619,200,219,236,0.3045833333333333
223,VIDEO_7356509644170333473,45,45,36,0.5125714285714286,211,221,229,0.19460714285714287,99,133,142,0.29282142857142857
224,VIDEO_7355765566625402144,151,173,194,0.16700892857142857,228,235,243,0.4895535714285714,55,68,34,0.3434375
225,VIDEO_7354275810578140449,176,183,196,0.28119897959183676,42,46,63,0.3632908163265306,83,106,143,0.35551020408163264
226,VIDEO_7354009165796216097,110,111,121,0.3001785714285714,37,39,45,0.1990625,202,205,207,0.5007589285714286
227,VIDEO_7353535610641976609,204,217,227,0.5601785714285714,37,48,55,0.11352678571428572,125,167,202,0.3262946428571429
228,VIDEO_7352233957276044577,113,107,107,0.28464285714285714,204,184,177,0.30869897959183673,31,34,36,0.4066581632653061
229,VIDEO_7351779832969104673,207,207,207,0.30642857142857144,48,58,76,0.2110357142857143,159,163,171,0.4825357142857143
230,VIDEO_7350954462992682272,41,55,67,0.365,192,186,175,0.2337857142857143,92,100,112,0.4012142857142857
231,VIDEO_7350708094302735649,232,235,238,0.4556428571428571,156,163,176,0.38771428571428573,43,49,59,0.15664285714285714
