,video_id,nb_textbloc
82,VIDEO_7535476048444558614,1
83,VIDEO_7535123405562006806,0
84,VIDEO_7533124404062981398,2
85,VIDEO_7532382235463339286,1
86,VIDEO_7528433357093358870,0
87,VIDEO_7510479503592901910,4
88,VIDEO_7509512878026788118,5
89,VIDEO_7504668782045039894,0
90,VIDEO_7495322095065238806,2
91,VIDEO_7494238893546474774,1
92,VIDEO_7490222588883422486,0
93,VIDEO_7488220279244623126,1
94,VIDEO_7486138878026321174,2
95,VIDEO_7483898615803612418,0
96,VIDEO_7480918194438278422,0
97,VIDEO_7480563839319264534,0
98,VIDEO_7471286673494527254,3
99,VIDEO_7470532387223407904,2
100,VIDEO_7468709057516326177,0
101,VIDEO_7468323433714126112,0
102,VIDEO_7466109584952855840,2
103,VIDEO_7463198577188146464,0
104,VIDEO_7458328611213298976,4
105,VIDEO_7451579890048027937,1
106,VIDEO_7443846446362774817,3
107,VIDEO_7436439641298865441,3
108,VIDEO_7423318018853178657,0
109,VIDEO_7414073681992895776,0
110,VIDEO_7397062762150513952,1
111,VIDEO_7395189160081935649,0
112,VIDEO_7350221322317761825,3
113,VIDEO_7343530174526377249,3
114,VIDEO_7336238126651706656,2
115,VIDEO_7329933240775527713,0
116,VIDEO_7329526946751089953,0
117,VIDEO_7316851921288006944,0
118,VIDEO_7300927450463194400,5
119,VIDEO_7297177472615861536,2
120,VIDEO_7296855348714016033,2
121,VIDEO_7290823677195603233,3
122,VIDEO_7261565962875358491,0
123,VIDEO_7260104911830945051,4
124,VIDEO_7257874855037586714,2
125,VIDEO_7210751695771553030,5
126,VIDEO_7193808719287766278,2
127,VIDEO_7192709681280781574,5
128,VIDEO_7191884217595219206,0
129,VIDEO_7190283346373610757,0
130,VIDEO_7184460864404229381,4
131,VIDEO_7183681305203330309,4
132,VIDEO_7171449726158589189,2
133,VIDEO_7168916057166597382,0
134,VIDEO_7164397666472873222,0
135,VIDEO_7161354120849427717,2
136,VIDEO_7143175958978186502,0
137,VIDEO_7132514036276628742,1
138,VIDEO_7124374690520419590,0
139,VIDEO_7094270154275605765,1
140,VIDEO_6958338154617228549,0
141,VIDEO_6955364241213771014,1
142,VIDEO_6921604099553119494,4
143,VIDEO_7604808799404264726,1
144,VIDEO_7603273994216738070,4
145,VIDEO_7596993704146046230,0
146,VIDEO_7593041331174362390,0
147,VIDEO_7589754729350155542,0
148,VIDEO_7587308013363449121,2
149,VIDEO_7583720650200730902,2
150,VIDEO_7577768828214512918,4
151,VIDEO_7575831202117045526,1
152,VIDEO_7574767270392532246,0
153,VIDEO_7572922723836431638,1
154,VIDEO_7569206708090850582,0
155,VIDEO_7568382003330993430,3
156,VIDEO_7566297785914412310,3
157,VIDEO_7563724139240885526,4
158,VIDEO_7556661292233379075,0
159,VIDEO_7553924193562266902,0
160,VIDEO_7553554500972367107,5
161,VIDEO_7545446733921209622,5
162,VIDEO_7537707440142454038,0
163,VIDEO_7480851478555659543,0
164,VIDEO_7478288153153916182,0
165,VIDEO_7476404323317222658,0
166,VIDEO_7474625701350509846,0
167,VIDEO_7473095088948759830,9
168,VIDEO_7471251146288418070,0
169,VIDEO_7468715378743528736,0
170,VIDEO_7467231080735690017,0
171,VIDEO_7466117788898315552,0
172,VIDEO_7465375886779403552,0
173,VIDEO_7463520186876939552,0
174,VIDEO_7458325240628661537,0
175,VIDEO_7456840693982465312,0
176,VIDEO_7454985264952266016,0
177,VIDEO_7452758752337399073,0
178,VIDEO_7452387800818666785,0
179,VIDEO_7449430237114404128,0
180,VIDEO_7444595106025442593,0
181,VIDEO_7441626192760884513,0
182,VIDEO_7440465091817999649,3
183,VIDEO_7437536576072125728,0
184,VIDEO_7436650165861141792,1
185,VIDEO_7436403924350864672,3
186,VIDEO_7436044441170857249,0
187,VIDEO_7434931188642352417,0
188,VIDEO_7433817907278269729,0
189,VIDEO_7431168865142328608,0
190,VIDEO_7429720640111791392,0
191,VIDEO_7428251635102534945,0
192,VIDEO_7425965869924142369,1
193,VIDEO_7423773390932135201,0
194,VIDEO_7414443436134223137,0
195,VIDEO_7412540786975231264,5
196,VIDEO_7410298388022824225,2
197,VIDEO_7407736509996043553,3
198,VIDEO_7399196283501628705,3
199,VIDEO_7394351547376880929,0
200,VIDEO_7392856168214957345,5
201,VIDEO_7390632928780340512,6
202,VIDEO_7388867149407849760,1
203,VIDEO_7387308322162052385,0
204,VIDEO_7386194546062839073,0
205,VIDEO_7382166710029208865,5
206,VIDEO_7381115594076146977,9
207,VIDEO_7379227737271094561,8
208,VIDEO_7379193504355978528,0
209,VIDEO_7378467106636991777,6
210,VIDEO_7377004580510436641,0
211,VIDEO_7376630682824576289,2
212,VIDEO_7374412100833250593,0
213,VIDEO_7374072615356353825,0
214,VIDEO_7369936386000031009,3
215,VIDEO_7367273018181160224,0
216,VIDEO_7366603470272515361,2
217,VIDEO_7365841944318086432,0
218,VIDEO_7365161137324805408,0
219,VIDEO_7363657122795490593,9
220,VIDEO_7361799258107841825,9
221,VIDEO_7361030582446378272,9
222,VIDEO_7358723892992642336,0
223,VIDEO_7356509644170333473,1
224,VIDEO_7355765566625402144,3
225,VIDEO_7354275810578140449,8
226,VIDEO_7354009165796216097,1
227,VIDEO_7353535610641976609,2
228,VIDEO_7352233957276044577,0
229,VIDEO_7351779832969104673,1
230,VIDEO_7350954462992682272,2
231,VIDEO_7350708094302735649,11
232,VIDEO_7350207537771220256,1
233,VIDEO_7348717316856712480,5
234,VIDEO_7348379737519082784,1
235,VIDEO_7346110636008475937,2
236,VIDEO_7345543122400726305,1
237,VIDEO_7344270149593091361,1
238,VIDEO_7343256943923858720,2
239,VIDEO_7340916267571858721,1
240,VIDEO_7338052242651598112,0
241,VIDEO_7337268516128591136,5
242,VIDEO_7335091592077856032,1
243,VIDEO_7332835826579164449,1
244,VIDEO_7331811695360363809,2
245,VIDEO_7331415350828911904,3
246,VIDEO_7330883086684622112,0
247,VIDEO_7329423244992236832,1
248,VIDEO_7328709134126206241,2
249,VIDEO_7326123173311728929,0
250,VIDEO_7325724813115346208,0
251,VIDEO_7324696131143847201,3
252,VIDEO_7324283735749266721,3
253,VIDEO_7323972466445946145,0
254,VIDEO_7323612868484631840,4
255,VIDEO_7323108113698147616,3
256,VIDEO_7320909330314775840,3
257,VIDEO_7320159598290226464,3
258,VIDEO_7319513643534568736,4
259,VIDEO_7318707614332849441,0
260,VIDEO_7317664309432077600,3
261,VIDEO_7317307650499251488,1
262,VIDEO_7316470398261021985,1
263,VIDEO_7316159323728661792,0
264,VIDEO_7312076882822909217,1
265,VIDEO_7311663059695570208,3
266,VIDEO_7311263969220644129,1
267,VIDEO_7310626433129270560,1
268,VIDEO_7310258308969991457,3
269,VIDEO_7309427596553489696,4
270,VIDEO_7309091598472727840,1
271,VIDEO_7308758430318071072,2
272,VIDEO_7306585450305555745,0
273,VIDEO_7304665669872782625,1
274,VIDEO_7303586993965960480,0
275,VIDEO_7303174310259166497,9
276,VIDEO_7302346370701118752,2
277,VIDEO_7302041138670619936,7
278,VIDEO_7301229129314159904,1
279,VIDEO_7300846195444927776,3
280,VIDEO_7300495910595808545,3
281,VIDEO_7299732621825690912,6
282,VIDEO_7298264093100674336,1
283,VIDEO_7297134358689860896,2
284,VIDEO_7296115605927644449,4
285,VIDEO_7294901504752782625,3
286,VIDEO_7294149539781463328,1
287,VIDEO_7293176268361665824,8
288,VIDEO_7292048482456587553,1
289,VIDEO_7291300657355689249,8
290,VIDEO_7290955653349133600,8
291,VIDEO_7290457107726339360,2
292,VIDEO_7289785625367153952,1
293,VIDEO_7288326750243704096,2
294,VIDEO_7287986771483282720,2
295,VIDEO_7285256841158790433,3
296,VIDEO_7284876929713442080,0
297,VIDEO_7283524894585883936,0
298,VIDEO_7283139399582240032,0
299,VIDEO_7282663509505133856,0
300,VIDEO_7281279828307856673,1
301,VIDEO_7280571511138782496,1
302,VIDEO_7280108212878200096,1
303,VIDEO_7279032970286009632,2
304,VIDEO_7277939332831251744,0
305,VIDEO_7276041559500475680,0
306,VIDEO_7274647533002034465,0
307,VIDEO_7271935381937884448,0
308,VIDEO_7270111755886415137,0
309,VIDEO_7269759073967525153,5
310,VIDEO_7265326628274752801,0
311,VIDEO_7264958192017362208,0
312,VIDEO_7264173669612670240,3
313,VIDEO_7262342975752113441,2
314,VIDEO_7262001980095106337,0
315,VIDEO_7259455690996075803,3
316,VIDEO_7259047429796908315,3
317,VIDEO_7258676118033599771,10
318,VIDEO_7256066819247623450,1
319,VIDEO_7254561581449612571,3
320,VIDEO_7253425216984976667,0
321,VIDEO_7252685251112176922,3
322,VIDEO_7246768104922008858,1
323,VIDEO_7245708272181759258,0
324,VIDEO_7245239505911893274,0
325,VIDEO_7244550731141844251,4
326,VIDEO_7242719682128530714,2
327,VIDEO_7242348894435167514,6
328,VIDEO_7241956873698577691,6
329,VIDEO_7241209133540609307,2
330,VIDEO_7239735340737498395,1
331,VIDEO_7239344688006728986,8
332,VIDEO_7238235896724704538,9
333,VIDEO_7237872414581935386,2
334,VIDEO_7237511650532773146,4
335,VIDEO_7237120496020573467,8
336,VIDEO_7236760874646637851,4
337,VIDEO_7236382869650689306,1
338,VIDEO_7236043111128894747,1
339,VIDEO_7235651777805290778,0
340,VIDEO_7235266120414924058,1
341,VIDEO_7234782434531839258,4
342,VIDEO_7233784589523717402,0
343,VIDEO_7233472157588753691,0
344,VIDEO_7233097610821700890,3
345,VIDEO_7230327665918512411,2
346,VIDEO_7229342870518385946,1
347,VIDEO_7228975701066550554,0
348,VIDEO_7227881339125583131,4
349,VIDEO_7227547227005209882,0
350,VIDEO_7227138868447923482,6
351,VIDEO_7226734943869750555,4
352,VIDEO_7226428593075752218,5
353,VIDEO_7226043488738069787,3
354,VIDEO_7225632323146943771,0
355,VIDEO_7225296808900152603,4
356,VIDEO_7224934115089370395,0
357,VIDEO_7223080468101483781,1
358,VIDEO_7221875155184733445,1
359,VIDEO_7221552853356236037,7
360,VIDEO_7219686321739123974,0
361,VIDEO_7218857185764216069,3
362,VIDEO_7218493650160897306,1
363,VIDEO_7218219061707033882,0
364,VIDEO_7215656408069442822,3
365,VIDEO_7215124561799449861,1
366,VIDEO_7214767845383900421,0
367,VIDEO_7213655175318211845,1
368,VIDEO_7213453348270378246,4
369,VIDEO_7213053350290459910,0
370,VIDEO_7211932492914298118,2
371,VIDEO_7211431817205878021,0
372,VIDEO_7211130311667715334,0
373,VIDEO_7210434710646836485,3
374,VIDEO_7209925340557348101,4
375,VIDEO_7208839545989762309,1
376,VIDEO_7208539932422425861,9
377,VIDEO_7207350500419702022,7
378,VIDEO_7204907848449527045,4
379,VIDEO_7203810617180933382,1
380,VIDEO_7203048812351327494,7
381,VIDEO_7202313398300724485,3
382,VIDEO_7201579247616494853,0
383,VIDEO_7198831282984324358,2
384,VIDEO_7198189694750838022,5
385,VIDEO_7197445468585037062,5
386,VIDEO_7196711667420384517,2
387,VIDEO_7195937456271691014,4
388,VIDEO_7195215450970606853,4
389,VIDEO_7192298503878577413,3
390,VIDEO_7191848035784117510,0
391,VIDEO_7188587993752702213,6
392,VIDEO_7184844462525287685,4
393,VIDEO_7184090635018784005,1
394,VIDEO_7183009043407965445,0
395,VIDEO_7181547992061676805,2
396,VIDEO_7179688144382512390,0
397,VIDEO_7177655896699325702,0
398,VIDEO_7176917454893911301,3
399,VIDEO_7172555111879757062,0
400,VIDEO_7164772525006720262,0
401,VIDEO_7143162692004482310,0
402,VIDEO_7137227107456879877,1
403,VIDEO_7135716231218318597,0
404,VIDEO_7133481707449142533,0
405,VIDEO_7130906655885102341,0
406,VIDEO_7130612533437762821,0
407,VIDEO_7129505006046170373,0
408,VIDEO_7127182082568113413,0
409,VIDEO_7116439198285958405,3
410,VIDEO_7113851055355596038,3
411,VIDEO_7112440653350571269,0
412,VIDEO_7108997263912979717,0
413,VIDEO_7104552926231743749,18
414,VIDEO_7103816728982916357,1
415,VIDEO_7101649191662882053,0
416,VIDEO_7100934148864494854,0
417,VIDEO_7098701138203069702,0
418,VIDEO_7095721528142155014,0
419,VIDEO_7088619536202648837,0
420,VIDEO_7078227199463066886,0
421,VIDEO_7077571361660521733,0
422,VIDEO_7070162555695615237,0
423,VIDEO_7068640088774741254,4
424,VIDEO_7067063225736580357,0
425,VIDEO_7059301793574046982,0
426,VIDEO_7041273346830454022,0
427,VIDEO_7040300833019415813,0
428,VIDEO_7036035511869246725,0
429,VIDEO_7013121880366255365,0
430,VIDEO_6969101040918465798,0
431,VIDEO_7532594185912847638,0
432,VIDEO_7524347836541046038,0
433,VIDEO_7518292077080268054,0
434,VIDEO_7508716246301510914,0
435,VIDEO_7506795063012232470,3
436,VIDEO_7506217095441435926,0
437,VIDEO_7505058159258504470,0
438,VIDEO_7502082897935928598,2
439,VIDEO_7500926454671232278,0
440,VIDEO_7495455289882184982,0
441,VIDEO_7490268698918309142,0
442,VIDEO_7486391346727537942,6
443,VIDEO_7479158367873748246,0
444,VIDEO_7478407463675481366,0
445,VIDEO_7472755159945252118,0
446,VIDEO_7467247804717550870,0
447,VIDEO_7459483581803482390,0
448,VIDEO_7457155091238259990,0
449,VIDEO_7455422115802565910,0
450,VIDEO_7450928915159190806,0
451,VIDEO_7448354400998853910,0
452,VIDEO_7447200750096223510,0
453,VIDEO_7446429495948594454,0
454,VIDEO_7444926040855661846,0
455,VIDEO_7443866656956255510,0
456,VIDEO_7440567441777757472,0
457,VIDEO_7439661735742557472,1
458,VIDEO_7439269165111725345,1
459,VIDEO_7436892906801073441,3
460,VIDEO_7421851827794152737,2
461,VIDEO_7418157210896698657,0
462,VIDEO_7269755991049260320,0
463,VIDEO_7253058884762537242,2
464,VIDEO_7252274964206832923,0
465,VIDEO_7250832194392886554,0
466,VIDEO_7245283945619655963,0
467,VIDEO_7239748390974704922,1
468,VIDEO_7226711933150432538,0
469,VIDEO_7202909898219326725,0
470,VIDEO_7192172787723783430,0
471,VIDEO_7148719596487363845,5
472,VIDEO_7510326060676975894,1
473,VIDEO_7494590607797554454,2
474,VIDEO_7494205664135236886,0
475,VIDEO_7483554122663234838,0
476,VIDEO_7475642830430522646,1
477,VIDEO_7471186366500539670,3
478,VIDEO_7467520617160396054,1
479,VIDEO_7464890614258158870,0
480,VIDEO_7463516081081027862,0
481,VIDEO_7460568175726398742,0
482,VIDEO_7458380266004843798,1
483,VIDEO_7456101045601570070,0
484,VIDEO_7453132168940915991,0
485,VIDEO_7453016788465454358,0
486,VIDEO_7452742967695002902,0
487,VIDEO_7444856032486116630,0
488,VIDEO_7439301301864877344,0
489,VIDEO_7397696022975188257,1
490,VIDEO_7395222817677085985,1
491,VIDEO_7384844059896057120,0
492,VIDEO_7384476119744974112,2
493,VIDEO_7384098121715813664,0
494,VIDEO_7379994182741429536,0
495,VIDEO_7371436708778315041,2
496,VIDEO_7369882061445926177,2
497,VIDEO_7361717788299250976,0
498,VIDEO_7351084194061126945,2
499,VIDEO_7343665662876781856,0
500,VIDEO_7333568243367431456,0
501,VIDEO_7332865581789629729,0
502,VIDEO_7332521954538245408,1
503,VIDEO_7325764964172467489,2
504,VIDEO_7282668264617004321,0
505,VIDEO_7273016085954317600,1
506,VIDEO_7261658279900744987,0
507,VIDEO_7259307845332602139,1
508,VIDEO_7252374564108274970,0
509,VIDEO_7252271385467161882,0
510,VIDEO_7251996103178997018,2
511,VIDEO_7249813717225950490,0
512,VIDEO_7249677053153283354,3
513,VIDEO_7249312172956732698,2
514,VIDEO_7246805127942737178,1
515,VIDEO_7246672390841715995,0
516,VIDEO_7246343164108295450,3
517,VIDEO_7246301041979886875,0
518,VIDEO_7245182525016935707,1
519,VIDEO_7244559099352976666,0
520,VIDEO_7242237385772240155,9
521,VIDEO_7241878874672385306,0
522,VIDEO_7236674356540165402,3
523,VIDEO_7221070563538717957,5
524,VIDEO_7216240671097736454,3
525,VIDEO_7216007272311344390,0
526,VIDEO_7215611067286703366,0
527,VIDEO_7210806075354811654,3
528,VIDEO_7205961411942468870,4
529,VIDEO_7205134218328902917,0
530,VIDEO_7191896362630302981,0
531,VIDEO_7190655063470116101,0
532,VIDEO_7176549919933664517,0
533,VIDEO_7164417550791494918,3
534,VIDEO_7163942959916895493,0
535,VIDEO_7161307348827426053,0
536,VIDEO_7158890098770119942,0
537,VIDEO_7152911692282809606,0
538,VIDEO_7137955446320565510,0
539,VIDEO_7125703838497131781,2
540,VIDEO_7115325407318052102,0
541,VIDEO_7114675214583155973,0
542,VIDEO_7114309168302984454,0
543,VIDEO_7110099088661548293,0
544,VIDEO_7107863534549110022,0
545,VIDEO_7096387117462359302,0
546,VIDEO_7094149805496159494,4
547,VIDEO_7091569180054490373,0
548,VIDEO_7085631257542954246,0
549,VIDEO_7080545682058169605,0
550,VIDEO_7076134412487855366,0
551,VIDEO_7072774694214044934,0
552,VIDEO_7070176633931549958,0
553,VIDEO_7069805338601606406,0
554,VIDEO_7067959925141474565,0
555,VIDEO_7067578500101803269,0
556,VIDEO_7057846707651939590,0
557,VIDEO_7051617295818362117,0
558,VIDEO_7040071170363788550,0
559,VIDEO_7036282180816932102,0
560,VIDEO_6944298636553604358,2
561,VIDEO_6943534360066804998,0
562,VIDEO_6940187794534960389,0
563,VIDEO_6919872357288971521,0
564,VIDEO_7597370054556011798,0
565,VIDEO_7591860205567151382,0
566,VIDEO_7590299923803884803,0
567,VIDEO_7587833111010954518,0
568,VIDEO_7587702184708558102,2
569,VIDEO_7586610643130764566,1
570,VIDEO_7580401530428394775,1
571,VIDEO_7579238923172547842,2
572,VIDEO_7572235624627899670,0
573,VIDEO_7572223162520177942,0
574,VIDEO_7572210786991344918,1
575,VIDEO_7572210750937107734,2
576,VIDEO_7569964600523853078,4
577,VIDEO_7565230748026899734,0
578,VIDEO_7558085942557347094,2
579,VIDEO_7556260834817723670,0
580,VIDEO_7555760932794764566,3
581,VIDEO_7554403190200945942,0
582,VIDEO_7553663983383858454,0
583,VIDEO_7549175046128831766,0
584,VIDEO_7547707789863406870,0
585,VIDEO_7542515768215211286,0
586,VIDEO_7538370537211432214,0
587,VIDEO_7538076349500689666,0
588,VIDEO_7535840388725378306,0
589,VIDEO_7529912051498552598,0
590,VIDEO_7528398053666016534,0
591,VIDEO_7523190975850679554,2
592,VIDEO_7518400955877199127,0
593,VIDEO_7517305745210232086,0
594,VIDEO_7516934430083091734,0
595,VIDEO_7515834191922072854,0
596,VIDEO_7514700901009886486,0
597,VIDEO_7512478582627732758,0
598,VIDEO_7508723396641852694,0
599,VIDEO_7506824474902433026,0
600,VIDEO_7500939642972212502,0
601,VIDEO_7491219464474856727,0
602,VIDEO_7486043762590895382,0
603,VIDEO_7483888039303843094,5
604,VIDEO_7483430893965626646,1
605,VIDEO_7479068329584364823,0
606,VIDEO_7477287305078934786,0
607,VIDEO_7475273206497086742,2
608,VIDEO_7474850979473640726,0
609,VIDEO_7473874393719000342,0
610,VIDEO_7467999174936644886,0
611,VIDEO_7467185543240109345,0
612,VIDEO_7466084820825787680,0
613,VIDEO_7465291116045208865,0
614,VIDEO_7464875419959921952,0
615,VIDEO_7459384907962305825,0
616,VIDEO_7447515391426825504,0
617,VIDEO_7444957131670949142,0
618,VIDEO_7444192177149742358,0
619,VIDEO_7439254923365059873,0
620,VIDEO_7437476740533865761,0
621,VIDEO_7431201197672975648,6
622,VIDEO_7429721456851864864,1
623,VIDEO_7426709076924484897,0
624,VIDEO_7425904564697632032,2
625,VIDEO_7415546238927523104,0
626,VIDEO_7402923905754746145,0
627,VIDEO_7401059521860209952,0
628,VIDEO_7400010201476123937,0
629,VIDEO_7396981634572078369,0
630,VIDEO_7396708038398266656,0
631,VIDEO_7394757283214806305,0
632,VIDEO_7393953054967581985,0
633,VIDEO_7393260705048268065,4
634,VIDEO_7392879054988397856,4
635,VIDEO_7388136382436281633,0
636,VIDEO_7385258008760028448,0
637,VIDEO_7382840415893998880,1
638,VIDEO_7381446389819018529,0
639,VIDEO_7369943098031443233,0
640,VIDEO_7357327030335114528,0
641,VIDEO_7355500880721939744,0
642,VIDEO_7354375095868984608,0
643,VIDEO_7350265065762819360,0
644,VIDEO_7348433044216253729,0
645,VIDEO_7345082142235413793,0
646,VIDEO_7344271684406349088,0
647,VIDEO_7342531903209114913,0
648,VIDEO_7342403362714914080,0
649,VIDEO_7340682108735671584,0
650,VIDEO_7338384626773216545,0
651,VIDEO_7337687297132973344,0
652,VIDEO_7337328365147295009,0
653,VIDEO_7336662438282120481,0
654,VIDEO_7336480513269583136,0
655,VIDEO_7336193209883839776,6
656,VIDEO_7335348681832418593,6
657,VIDEO_7335020484637068576,0
658,VIDEO_7333604507793853728,0
659,VIDEO_7332775399883033888,4
660,VIDEO_7332156358902500640,0
661,VIDEO_7331017914612567329,0
662,VIDEO_7329087770905840928,0
663,VIDEO_7327632037437820193,0
664,VIDEO_7326887540705873185,0
665,VIDEO_7324339550283664672,0
666,VIDEO_7323194315415588129,0
667,VIDEO_7322866542985710881,0
668,VIDEO_7321969929564065057,0
669,VIDEO_7318769443222359329,0
670,VIDEO_7318026666939256096,0
671,VIDEO_7317653042533305633,0
672,VIDEO_7317290713673190688,0
673,VIDEO_7316431760194096416,1
674,VIDEO_7314335987033738528,3
675,VIDEO_7314256868556213537,0
676,VIDEO_7310606511775026464,1
677,VIDEO_7308389510113512737,0
678,VIDEO_7306457226254781729,0
679,VIDEO_7304693853758491936,0
680,VIDEO_7302352085796916513,4
681,VIDEO_7297157611294706976,0
682,VIDEO_7296501143700606241,0
683,VIDEO_7277906809787059489,0
684,VIDEO_7261564389075995930,6
685,VIDEO_7261562285791956251,9
686,VIDEO_7261499359819336986,1
687,VIDEO_7215238321247751430,1
688,VIDEO_7211565992852475141,0
689,VIDEO_7202617948983315717,0
690,VIDEO_7199586123952311557,4
691,VIDEO_7195225752541875462,0
692,VIDEO_7193338808870456582,0
693,VIDEO_7192237337412177157,2
694,VIDEO_7182218891702127877,1
695,VIDEO_7179637090932509958,0
696,VIDEO_7173707401302920453,0
697,VIDEO_7169948893805825285,0
698,VIDEO_7164769032430767365,0
699,VIDEO_7163552631053503749,3
700,VIDEO_7162174902865251589,0
701,VIDEO_7155814731897376006,2
702,VIDEO_7146479472022277381,0
703,VIDEO_7145813168818900229,5
704,VIDEO_7130620750842678533,4
705,VIDEO_7088705916027063557,3
706,VIDEO_7087822626005060870,2
707,VIDEO_7084890005491010821,5
708,VIDEO_7081140277083213062,2
709,VIDEO_7079069070078889221,3
710,VIDEO_7077597820538146053,1
711,VIDEO_7076423248698690822,4
712,VIDEO_7075788593930816773,6
713,VIDEO_7073510812542913798,4
714,VIDEO_7073157554024566021,3
715,VIDEO_7071521897082621189,1
716,VIDEO_7070550742880292101,2
717,VIDEO_7067217215925275910,6
718,VIDEO_7064489288125189382,0
719,VIDEO_7063459529668742406,4
720,VIDEO_7062023531764256006,5
721,VIDEO_7061519229182315781,0
722,VIDEO_7060887870688529670,4
723,VIDEO_7059414649581604102,5
724,VIDEO_7057560274424958214,3
725,VIDEO_7055714634526969093,4
726,VIDEO_7055321327174946054,3
727,VIDEO_7054948838716493061,5
728,VIDEO_7053545705868152069,0
729,VIDEO_7052727837165505797,2
730,VIDEO_7045558641969073414,5
731,VIDEO_7039259712038112518,0
732,VIDEO_7038189746484563205,1
733,VIDEO_7019307301299424518,2
734,VIDEO_7014030961486630149,2
735,VIDEO_7001083090462346501,0
736,VIDEO_6994481888182144262,0
737,VIDEO_6982843678305897734,1
738,VIDEO_6972416280762649861,0
739,VIDEO_6963197595422346502,1
740,VIDEO_6959192993014287622,0
741,VIDEO_6952049416425590022,2
742,VIDEO_6921227616347327749,0
743,VIDEO_6919824999914245381,2
744,VIDEO_7597116010528902422,0
745,VIDEO_7548437152137350422,1
746,VIDEO_7545851939586723094,2
747,VIDEO_7537717748512705814,1
748,VIDEO_7530943991257386262,0
749,VIDEO_7528439846218550550,0
750,VIDEO_7524285666692271382,2
751,VIDEO_7519058140860583190,0
752,VIDEO_7515407893357759766,7
753,VIDEO_7511669950990290198,2
754,VIDEO_7496845046814166294,1
755,VIDEO_7475687308797299990,0
756,VIDEO_7470159373935856918,4
757,VIDEO_7459403430122097942,1
758,VIDEO_7458331354212666646,2
759,VIDEO_7455305851092389142,0
760,VIDEO_7451629003380755734,18
761,VIDEO_7450432979526012182,0
762,VIDEO_7439731424854379809,6
763,VIDEO_7438288130567949601,29
764,VIDEO_7434514141697625377,1
765,VIDEO_7433411068988280097,1
766,VIDEO_7414109220523511073,1
767,VIDEO_7410754655682153761,0
768,VIDEO_7407843953539583265,7
769,VIDEO_7400379104962284832,8
770,VIDEO_7395950056001572128,0
771,VIDEO_7393316600922885409,0
772,VIDEO_7372168611449900321,2
773,VIDEO_7358820174952172832,1
774,VIDEO_7356608348030012704,2
775,VIDEO_7354350552693656864,4
